Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
21691339;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;451916.0;Keplerova;è.p.;101;16.0;;11800;745063.0;1042528.53;2017-06-07T00:00:00
21691355;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;458457.0;Na náspu;è.p.;101;1.0;;11800;745005.56;1042504.26;2017-06-07T00:00:00
21691363;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;454893.0;Loretánská;è.p.;102;8.0;;11800;744866.96;1042621.59;2017-06-29T00:00:00
21691517;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;466042.0;Pohoøelec;è.p.;111;25.0;;11800;745022.58;1042667.26;2017-06-29T00:00:00
21691568;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;470384.0;Strahovská;è.p.;123;16.0;;11800;745203.89;1042937.45;2017-06-29T00:00:00
21691584;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;482439.0;Strahovské nádvoøí;è.p.;126;8.0;;11800;745211.55;1042787.17;2017-06-29T00:00:00
21692009;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;467367.0;Radnické schody;è.p.;169;5.0;;11800;744580.06;1042635.71;2017-06-29T00:00:00
21692041;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;462292.0;Nerudova;è.p.;171;48.0;;11800;744539.55;1042650.66;2017-06-29T00:00:00
21692335;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;458554.0;Na Opyši;è.p.;192;8.0;;11900;743844.28;1042356.99;2017-06-29T00:00:00
21692394;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;482544.0;Hrad II. nádvoøí;è.p.;198;;;11900;744283.27;1042408.99;2017-06-14T00:00:00
21692475;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;478024.0;Vlašská;è.p.;211;44.0;;11800;744843.02;1042955.84;2017-06-14T00:00:00
21692483;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;447056.0;Gogolova;è.p.;212;1.0;;11800;743486.57;1042246.66;2017-06-14T00:00:00
21692599;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;456942.0;Na baštì sv. Tomáše;è.p.;225;1.0;;11800;743438.17;1042094.93;2017-06-29T00:00:00
21692688;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;483931.0;Diskaøská;è.p.;294;1.0;;11800;745354.21;1042817.55;2017-06-29T00:00:00
21692696;554782;Praha;500054;Praha 1;19;Praha 1;490075;Hradèany;445592.0;Dlabaèov;è.p.;294;1.0;;11800;745327.38;1042806.94;2017-06-29T00:00:00
21692742;554782;Praha;500054;Praha 1;19;Praha 1;127001;Josefov;451410.0;Kaprova;è.p.;1;1.0;;11000;743149.37;1042832.2;2017-06-23T00:00:00
21692751;554782;Praha;500054;Praha 1;19;Praha 1;127001;Josefov;480614.0;námìstí Jana Palacha;è.p.;1;2.0;;11000;743169.29;1042794.09;2017-06-14T00:00:00
